ID	description
107.3	All That Jazz (album), a 1989 album by Ella Fitzgerald
107.4	"All That Jazz", a song by Echo & the Bunnymen from their 1980 album Crocodiles
107.5	"All That Jazz" (radio sitcom), a 1990 radio sitcom starring Steven Pacey
107.6	"All That Jazz", The ninth episode from the first season of Sealab 2021
107.7	All That Jazz (Breathe album) is the first album by the musical group Breathe
108.1	"Across the Universe", a 1969 song by The Beatles
108.2	Across the Universe (film), a 2007 musical film based on songs by The Beatles
108.3	Across the Universe (album), a 1990 rock album by Trip Shakespeare
108.4	Across the Universe (Star Trek), a 1999 Star Trek novel
108.5	A Cross the Universe, a live album and DVD by the French duo Justice
109.1	Lost in Space, a TV series that ran on CBS from 1965 to 1968
109.2	Lost in Space (film), a 1998 film that was based on the TV series
109.3	Lost in Space (comic), a 1991 comic book series scripted by Bill Mumy
109.4	Lost in Space (book), a 1959 science fiction novel by George O. Smith
109.5	Lost in Space (album), a 2002 album by Aimee Mann
109.6	Two EPs from the metal opera project Avantasia
109.7	"Lost in Space", a song by Apollo 440 from the 1999 album Gettin' High on Your Own Supply
109.8	"Lost in Space", a song by Atomic Rooster from the 1980 album Atomic Rooster
109.9	"Lost in Space" (Electrasy song), a song by Electrasy
109.10	"Lost in Space" (Lighthouse Family song), a song by The Lighthouse Family
109.11	"Lost in Space", a song by The Misfits from the 1999 album Famous Monsters
109.12	"Lost in Space", a song by Neil Young from the 1980 album Hawks & Doves
109.13	"lost in space", a boxed-set of recordings by the space-rock band Radio Massacre International
110.1	Fast Food Nation: The Dark Side of the All-American Meal (2001) is a book by investigative journalist Eric Schlosser that examines the local and global influence of the United States fast food industry. 
110.2	Fast Food Nation is a 2006 American/British drama film directed by Richard Linklater. 
111.1	Cats & Dogs is a 2001 American comedy film directed by Lawrence Guterman.
111.2	Cats and Dogs (game), a two-player abstract strategy board game
111.3	Cats and Dogs (Royal Trux album), a 1993 rock album
111.4	Cats and Dogs (Talisman album), a 2003 hard rock album
112.1	Heart to Heart is an album by Reba McEntire.
112.2	Heart to Heart (film), a 1949 documentary
112.3	Heart to Heart International, a humanitarian organization
112.4	Heart 2 Heart, an album by Kyla, or the title song, "Heart to Heart"
112.5	Heart 2 Heart with Super Junior, a compilation album of songs chosen by Super Junior
112.6	"Heart to Heart", a song by Kenny Loggins from High Adventure
112.7	"Heart to Heart", a song by Kenny Rogers from What About Me?
113.1	Speed of light, physical constant that is roughly 300,000 kilometers per second
113.2	Speed of light (cellular automaton), the greatest rate at which information can propagate in a cellular automaton
113.3	"Speed of Light", a song by Orchestral Manoeuvres in the Dark
113.4	"Speed of Light", a song by Stratovarius
113.5	"Speed of Light", an instrumental song by Joe Satriani
113.6	"Speed of Light", a single by van Canto
113.7	"Speed of Light, Corbin Bleu's second studio album.
114.1	Radius of curvature is a term characterizing the measure of how curved, or bent, a given curve or surface is. 
114.2	Radius of curvature (optics)
114.3	Radius of curvature (applications), in geodesy and materials science
114.4	The reciprocal of the curvature, in differential geometry
114.5	Radius, for a sphere (lingo)
114.6	The radius of the osculating circle in differential geometry of curves
114.7	Minimum railway curve radius
115.1	Food for thought is anything that provides mental stimulus for thinking
115.2	Food for Thought (label), a record label
115.3	Food for Thought (Pink Cream 69 album)
115.4	Food for Thought (Young Rome album)
115.5	"Food for Thought" (song), a song by UB40
115.6	Food for Thought (TV series), a British documentary series presented by Brian J. Ford
115.7	"Food for Thought", an episode of That's So Raven
116.1	Burden of proof is, in common law, the obligation to prove allegations which are presented in a legal action.
116.2	The Burden of Proof, a 1990 novel by Scott Turow
116.3	The Burden of Proof (film), a 1992 film based on the above novel
116.4	Burden of Proof (CSI episode)
117.1	Field of fire, the area around one or several weapon that can be reached by bullets.
117.2	"Field of Fire" (DS9 episode), a seventh season episode of Star Trek: Deep Space Nine.
117.3	Field of Fire (computer game), 1984 strategy game
117.4	Fields of Fire (game), 2009 card/campaign historical simulation Game
117.5	Field of Fire (album), album by Richard Lloyd
117.6	Fields of Fire (novel), 1978 novel by Jim Webb
117.7	Fields of Fire (album), 1986 album by Corey Hart
117.8	"Fields of Fire" (song), 1983 song by Big Country
117.9	Fields of Fire (TV series), an Australian television series.
118.1	Crown of Thorns (Jesus), worn by Jesus during the Passion
118.2	Crown of Thorns' Church, an anglican church in Hong Kong Sheng Kung Hui
118.3	An architectural style of church steeple, a crown steeple such as found on St. Giles' Cathedral
118.4	Crown-of-thorns starfish
118.5	Euphorbia milii (Euphorbiaceae), a species of spurge
118.6	Paliurus spina-christi (Rhamnaceae), also known as Christ's Thorn or Jerusalem Thorn
118.7	Crown of Thorns (band), a hard-rock band from Los Angeles
118.8	The Crown, Swedish death metal band formerly known as Crown of Thorns
118.9	"Chloe Dancer/Crown of Thorns", a song by the American rock band Mother Love Bone
118.10	Echo & The Bunnymen have a song titled "Thorn of Crowns" from their 1984 album Ocean Rain.
118.11	"Crown of Thorns", a song by punk rock group Social Distortion off their album White Light, White Heat, White Trash
118.12	"Crown of Thorns", a song by pop duo Erasure on their album Wild!
118.13	Crown of Thorns (woodworking), a technique of self-supported interlocking pieces
118.14	"Crown of Thorns" (short story)", a short story by Poppy Z. Brite
119.1	Charles de Gaulle (1890–1970), French military leader and statesman
119.2	Charles de Gaulle (poet) (1837–1880), poet and pioneer of pan-Celticism, uncle of the statesman
119.3	Charles de Gaulle (1948-) (born 1948), former member of the European Parliament, grandson of the statesman
119.4	Charles de Gaulle International Airport, France's main international airport
119.5	Charles De Gaulle (R 91), an aircraft carrier in the French Navy
119.6	Place de l'Étoile, a large urban junction in Paris, including the Arc de Triomphe
119.7	Charles de Gaulle - Étoile (Paris Métro and RER), a rail station under the place Charles de Gaulle
119.8	Charles de Gaulle Square, a square in Bucharest, Romania
119.9	Lycée Français Charles de Gaulle, a large French school in London
120.1	The Tower of Babel in the Old Testament was a tower built by a united humanity to reach the heavens.
120.2	Tower of Babel (board game), board game by Reiner Knizia
120.3	Tower Of Babel (computer game), computer game for the Amiga, Atari ST and Acorn Archimedes
120.4	Tower of Babel (video game), a video game by Namco for the Famicom and the Sharp X68000
120.5	The Tower of Babel is the last level in the second episode of the id Software game Doom
120.6	In Indiana Jones and the Infernal Machine (computer game) by LucasArts, the Tower of Babel was a temple to the god Marduk, who ordered them to build a great Machine within the Tower. The Babylonians eventually saw that Marduk was a false god and destroyed the Tower.
120.7	The Tower of Babel is a location in the PlayStation RPG Xenogears.
120.8	The Tower of Babel is a location in the Super Nintendo game Illusion of Gaia.
120.9	The Tower of Babel is a location in the RPG Final Fantasy IV, specifically the Game Boy Advance version, as the location was translated as either the Tower of Babil or the Tower of Bab-Il in prior versions.
120.10	Tower of Babel, a song from Elton John's 1975 album, Captain Fantastic and the Brown Dirt Cowboy.
120.11	The Tower of Babel (Brueghel), painting by Pieter Brueghel the Elder
120.12	"Tower Of Babel" (Dilbert episode), episode of the TV cartoon show Dilbert
120.13	Tower of Babel: The Evidence Against the New Creationism, book by Robert T. Pennock
120.14	Tower of Babel (play), a comedic play by Olaf Bull
120.15	JLA: Tower of Babel, a Justice League of America story arc
120.16	The Tower of Babel (M. C. Escher), woodcut by Maurits Cornelis Escher.
120.17	The tarot card The Tower, which is sometimes called The Tower of Babel.
120.18	"Tower of Babel", song often omitted from the musical Godspell
120.19	Tower of Babylon, science fiction novelette by Ted Chiang.
121.1	Cassius Clay (born 1942), later known as Muhammad Ali, is a former American boxer.
121.2	Cassius Marcellus Clay (1810–1903), American politician, abolitionist
121.3	Cassius Marcellus Clay, Sr. (1912–1990), American painter and musician, named after the politician and abolitionist
122.1	Bed of roses is an English expression, which means an easy and peaceful life.
122.2	Bed of Roses (film)—A 1996 romance film
122.3	"Bed of Roses"—A 1989 Mondo Rock (Ross Wilson) song
122.4	"Bed of Roses"—A 1993 Bon Jovi song
122.5	"Bed of Rose's"—A 1971 Statler Brothers song
122.6	Bed of Roses (1933 film)—A 1933 comedy film
122.7	"Bed of Roses"—A song by Mindless Self Indulgence
122.8	Bed of Roses (TV series)—A 2008 Australian television drama series
122.9	"A Bed of Roses", a poem by Patti Smith from her 1996 book The Coral Sea
122.10	A single by 1990s Grunge band Screaming Trees from the 1991 Studio album Uncle Anesthesia.
123.1	Ace of Spades, commonly thought of as the highest-ranking card in the deck.
123.2	Ace of Spades (album), an album by Motörhead
123.3	"Ace of Spades" (song), a song by Motörhead
123.4	"Ace of Spades" (live), a live single by Motörhead
123.5	Ace of Spades, a Link Wray song, featured in the movie Pulp Fiction
123.6	Ace of Spades (serial), a 1925 film serial
123.7	Ace of Spades HQ, a conservative weblog
123.8	Armand de Brignac, a champagne (commonly known as Ace of Spades)
123.9	Cockney rhyming slang for AIDS
123.10	Saddam Hussein, the Ace of Spades in the Most-wanted Iraqi playing cards
123.11	Ace of Spades (junction), a junction of the A3 road about 15 miles south west of central London
123.12	Ace of Spades (comics)
124.1	Reign of Terror is the name given to a historical period during the early part of the French Revolution.
124.2	Reign of Terror, a song from Primo Victoria by Swedish heavy metal band Sabaton
124.3	Reign of Terror (Demo), by the American band Death
124.4	Reign of Terror (film), a 1949 film about the French Revolution
124.5	"The Reign of Terror" (Doctor Who), a Doctor Who serial
124.6	The Reign of Terror (film), a 1914 film
124.7	xReign of Terrorx, an American Straight Edge rapper.
124.8	The Reign of Terror, a rock band fronted by the guitarist Joe Stump
125.1	Tree of Knowledge of Good and Evil, a tree in the Garden of Eden, mentioned in the Book of Genesis
125.2	The Tree of Knowledge, a novel by Pío Baroja
125.3	Drvo Znanja, a Croatian magazine
125.4	Tree of Knowledge, a 1970s publication by Marshall Cavendish
125.5	The Tree of Knowledge: The Biological Roots of Human Understanding, a 1987 book by Humberto Maturana and Francisco Varela (1987)
125.6	Tree of Knowledge (Australia), the traditional birthplace of the Australian Labor Party
125.7	Tree of Knowledge System, a conceptual approach to the unification of psychology theories
125.8	"The Tree of Knowledge," a single by Pagan Wanderer Lu
126.1	Practice of law
126.2	Medical practice
126.3	Private Practice (album), released in 1978 by Dr. Feelgood
126.4	Private Practice (TV series), a U.S.-produced medical drama
127.1	"Soldier of Fortune" is another term for a mercenary or adventurer. It may also refer to:
127.2	Soldier of Fortune (magazine), a publication purportedly aimed at mercenaries
127.3	A video game series
127.4	Soldier of Fortune, Inc., a 1997-1998 television show (later renamed Special Ops Force)
127.5	Soldiers of Fortune, 1955 television series starring John Russell and Chick Chandler. Lasted two seasons (52 episodes).
127.6	The Chaos Engine, a 1993 top-down action game, sold as Soldiers of Fortune in the USA
127.7	Soldier of Fortune (film), a 1955 film starring Clark Gable, Susan Hayward, and Michael Rennie
127.8	Laser Mission, a 1990 film with Brandon Lee and Ernest Borgnine, also titled Soldier of Fortune
127.9	"Soldier of Fortune", a song by Deep Purple from their 1974 album Stormbringer, covered by Opeth in the 2006 special edition of their album Ghost Reveries, covered by Black Majesty in their 2007 album Tomorrowland and also by Whitesnake in their 1997 album Starkers in Tokyo.
127.10	"Soldier of Fortune", a song by Thin Lizzy from their 1977 album Bad Reputation.
127.11	"Soldier of Fortune", a song recorded by The Manhattan Transfer on their 1983 album Bodies and Souls
127.12	Soldier of Fortune, a 1989 album by Loudness
127.13	Soldiers of Fortune at Project Gutenberg A novel by Richard Harding Davis (1897).
127.14	Real Soldiers of Fortune at Project Gutenberg A non-fiction book by Richard Harding Davis (1906). Biographies of: Major-General Henry Ronald Douglas MacIver -- Baron James Harden-Hickey -- Sir Winston Spencer Churchill -- Captain Philo Norton McGiffin -- General William Walker -- Major Burnham, chief of scouts
127.15	A horse: Soldier of Fortune (horse) -- 2007 Irish Derby winner.
128.1	The Sergio Vieira de Mello Citizen of the World award is given out by the United Nations Correspondents Association to those who have made a significant contribution.
128.2	Citizen of the World is an album by David Arkenstone, released in 1999.
129.1	The Da Vinci Code, the original 2003 novel by Dan Brown
129.2	The Da Vinci Code (film), the 2006 film based on the novel
129.3	The Da Vinci Code (video game), the 2006 game based on the novel, and timed for release with the movie
129.4	DaVinci Code (board game), a code breaking deduction board game
129.5	The Da Vinci Code WebQuests, a series of web-based games and puzzles, based on the novel
129.6	The Da Vinci Code (soundtrack), a CD based on the music of the film
130.1	Freedom of the seas, a legal concept
130.2	MS Freedom of the Seas, a cruise ship
130.3	Freedom of the Seas, a play by Walter C. Hackett
130.4	Freedom of the Seas (film), a 1934 adaptation of the play
131.1	Freedom of the press, is the freedom of communication and expression through vehicles including various electronic media and published materials.
131.2	Freedom of the Press is a yearly report by US-based non-governmental organization Freedom House
132.1	Queen of the night, Nightblooming cereus, several genera and species of cactus
132.2	Queen of the night, Cestrum nocturnum, a woody evergreen commonly known as Night-blooming Cestrum
132.3	Queen of the Night, or Königin der Nacht, a major character in the 1791 Mozart opera The Magic Flute
132.4	"Queen of the Night" (song), a 1993 single by Whitney Houston
132.5	Queen of the Night, the goddess depicted in the Burney Relief, as named by the British Museum in 2003
132.6	The Queen of the Night, a 1994 Mexican film
133.1	Another Day in Paradise is the name of a Phil Collins song.
133.2	Another Day in Paradise (novel), a 1997 novel by Eddie Little
133.3	Another Day in Paradise (film), a 1998 film with the same title
133.4	Another Day in Paradise (album), an album by Strung Out
133.5	Another Day in Paradise, a 2001 book by Jim Toomey
133.6	Just Another Day in Paradise, a song by Phil Vassar
134.1	In the Name of Love (Earth, Wind & Fire album), or the title song
134.2	In the Name of Love (Thompson Twins album), or the title song, featured in the film Ghostbusters
134.3	In the Name of Love (Yasmien Kurdi album), or the title song
134.4	In the Name of Love: Artists United for Africa, an album of cover versions of songs by U2
134.5	"Pride (In the Name of Love)", a song by U2
134.6	"Vo Ime Na Ljubovta" ("In the Name of Love"), a song by Tamara Todevska, Vrčak and Adrian Gaxha
134.7	"In the Name of Love", a song by Eriko Imai
134.8	"In the Name of Love", a song by Rick Astley from Free
134.9	In the Name of Love (film), a 2003 documentary edited by Yana Gorskaya
135.1	"Bad to the Bone" is a blues-influenced rock song by George Thorogood and the Destroyers.
135.2	Bad to the Bone (album), a 1982 album by George Thorogood and the Destroyers
135.3	"Bad to the Bone" (CSI), an episode of the television series CSI: Crime Scene Investigation
135.4	"Bad to the Bone" (Running Wild song), a 1989 single by Running Wild
135.5	Bad to the Bone (film), a 1997 TV movie starring Kristy Swanson
135.6	Bad to the Bone, a 1986 album by LA Dream Team
136.1	The Glass Bead Game (German: Das Glasperlenspiel) is the last work and magnum opus of the German author Hermann Hesse.
136.2	The Glass Bead Game is the seventh studio album from James Blackshaw.
137.1	"Beer for My Horses" is a number-one single, recorded by American country music artists Toby Keith and Willie Nelson.
137.2	Beer for My Horses is a 2008 American feature film comedy. 
138.1	Attack of the Mutant is the twenty-fifth book in R. L. Stine's Goosebumps series.
138.2	Attack of the Mutant (video game)
138.3	Attack of the Mutant Camels was a surrealist computer game released for the Commodore 64 and Atari 8-bit computers in the 1980s by Jeff Minter's Llamasoft. 
139.1	The Colour of Magic is a 1983 comic fantasy novel by Terry Pratchett, and is the first book of the Discworld series.
139.2	The Colour of Magic is a two-part television adaptation of the bestselling novels The Colour of Magic and The Light Fantastic by Terry Pratchett.
140.1	Hair of the dog is a colloquial English expression about a hangover cure.
140.2	"Hair of the Dog" (song), by Nazareth, and cover versions by Guns N' Roses from the album "The Spaghetti Incident?", by Warrant from the album Under the Influence, and by Britny Fox from the album The Best of Britny Fox
140.3	"Hair of the Dog", by Bauhaus from the 1981 album Mask
140.4	"Hair of the Dog", by the Ramones from the 1986 album Animal Boy
140.5	"Hair of the Dog", by Loverboy from the 1997 album Six
140.6	"Hair of the Dog", by Shooter Jennings from the 2006 album Electric Rodeo
140.7	"Hair of the Dog", by Senses Fail from the 2008 album Life Is Not a Waiting Room
140.8	Hair of the Dog, a 1975 album by Nazareth
140.9	Hair of the Dog (Tankard album), a 1989 compilation album by Tankard
140.10	Hair of the Dog (film), a 1962 British film starring John Le Mesurier
140.11	Hair of the Dog Brewing Company, a microbrewery located in Portland, Oregon
140.12	Actual Hair, of an actual Dog
141.1	The Marquise of O (German: Die Marquise von O) is a novella by Heinrich von Kleist.
141.2	The Marquise of O (German: Die Marquise von O...) is a 1976 film directed by Éric Rohmer.
142.1	The Game of Life, also known simply as LIFE, is a board game originally created in 1860 by Milton Bradley, as The Checkered Game of Life. 
142.2	The Game of Life, also known simply as Life, is a cellular automaton devised by the British mathematician John Horton Conway in 1970.[1] 
142.3	The Game of Life is the second album by Arsonists Get All the Girls.
143.1	Rookie of the Year (award), a sports award for the most outstanding rookie in a given season
143.2	Rookie of the Year (film), a 1993 film starring Thomas Ian Nicholas
143.3	Rookie of the Year (album) by rapper Ya Boy
143.4	Rookie of the Year (band), an indie rock band from Fayetteville, North Carolina
143.5	"Rookie of the Year", a song from Funeral for a Friend's debut album Casually Dressed and Deep in Conversation"
144.1	a variation of Tempest in a teapot, an idiom meaning a small event that has been exaggerated out of proportion
144.2	Storm in a Teacup (film), a 1937 British film.
144.3	"Storm in a Teacup", a song by Sheffield band Milburn off their debut album Well Well Well
144.4	"Storm in a Teacup", a song from the Red Hot Chili Peppers album Stadium Arcadium
144.5	"Storm in a Teacup", a song by Badfinger, written by Tom Evans, appearing as a bonus track on the Magic Christian Music album
144.6	"Storm in a Teacup", a British top ten song by The Fortunes, written by Lynsey de Paul and Ron Roker
144.7	"Storm in a Teacup", a song by English synthpop duo Erasure from their 2007 album Light at the End of the World
144.8	"A Storm in a Teacup", episode 1 from Series 3 of Porridge.
145.1	Lake of the Woods (Canada)
145.2	Lake of the Woods (California)
145.3	Lake of the Woods (Wyoming)
145.4	Lake of the Woods, California
145.5	Lake of the Woods, Champaign County, Illinois
145.6	Lake of the Woods, Peoria County, Illinois
145.7	Lake of the Woods County, Minnesota
145.8	Lake of the Woods School, Baudette, Minnesota
145.9	In the Lake of the Woods, a novel by Tim O'Brien
146.1	Sign of the Cross, the ritual hand motion by bible-believers
146.2	The Sign of the Cross: Travels in Catholic Europe, a book by Colm Tóibín
146.3	The Sign of the Cross (play), 1895 play by Wilson Barrett
146.4	The Sign of the Cross (film), directed by Cecil B. DeMille, based on the play
146.5	"Sign of the Cross", a song by Iron Maiden on their album The X Factor
146.6	"Sign of the Cross", a song by Avantasia
146.7	"Sign of the Cross", a song by Terveet Kädet
147.1	Music of the spheres or Musica universalis is an ancient philosophical concept that regards proportions in the movements of celestial bodies as a form of music.
147.2	"Music of the Spheres" (The Outer Limits), an episode of The Outer Limits
147.3	"Music of the Spheres" (Doctor Who), a mini-episode of Doctor Who made for The Proms
147.4	Music of the Spheres (Mike Oldfield album)
147.5	Music of the Spheres (Ian Brown album)
147.6	Music of the Spheres, a piece of music for brass band by Philip Sparke
148.1	Trip the light fantastic (phrase), to dance nimbly or lightly
148.2	Trip the Light Fantastic (album), by British popstar Sophie Ellis-Bextor
148.3	Tripping the Light Fantastic (album), from alternative rock band Lit
148.4	"Tripping the Light Fantastic" (song), by Brian Transeau on his album Ima
148.5	"Trip the Light Fantastic" (album), an album by Ladybug Mecca.
149.1	Twilight of the Gods (opera), the last of the four operas that comprise The Ring of the Nibelung
149.2	Twilight of the Gods (album), the sixth album by Bathory
149.3	Twilight of the Gods (song), a song by the German power metal band Helloween, on their Keeper of the Seven Keys Part 1 album
149.4	Twilight of the Gods (Bernice Summerfield), a novel by Mark Clapham and Jon de Burgh Miller from the Virgin New Adventures
149.5	Twilight of the Gods (Doctor Who), an original novel written by Christopher Bulis
149.6	Twilight of the Gods (book), a book by Wilfrid Mellers (first published in 1974) that recounts the career of The Beatles, along with criticism and technical descriptions of the group's songs.
149.7	Twilight of the Gods (film) - a 1995 New Zealand film by Stewart Main.
149.8	Twilight of the Gods - a 1993 TV episode of Inspector Morse.
150.1	Survival of the Fittest is a metaphor related to the biological theory of evolution.
150.2	"Survival of the Fittest" (song), a 1995 single by hip hop duo Mobb Deep
150.3	Survival of the Fittest (Headhunters album), a 1975 jazz-funk album recorded by The Headhunters
150.4	"Survival of the Fittest", a song by MC Lyte
150.5	Survival Of The Fittest LIVE, a 1971 live album by The Amboy Dukes which also contained a song with the same name
150.6	Survival of the Fittest, a book by Mike Stroud (physician)
150.7	Survival of the Fittest (The Hardy Boys), a title in the boys' detective/adventure books The Hardy Boys
150.8	Survival of the Fittest, a green enchantment from the Exodus expansion of the card game Magic: The Gathering
150.9	"Survival of the Fittest", an online writing and role-playing game based on Battle Royale
150.10	Survival of the Fittest (wrestling), an annual professional wrestling tournament held by Ring of Honor
150.11	"Survival of the Fittest", an episode in the Japanese documentary Miracle Planet
150.12	"Survival of the Fittest," the pilot episode of The Spectacular Spider-Man"
151.1	The Edge of Heaven was a song by British pop duo Wham!, released on Epic Records in 1986.
151.2	The Edge of Heaven (international English title) (original title German: Auf der anderen Seite, Turkish: ''Yaşamın Kıyısında'') is a 2007 Turkish-German film written and directed by Fatih Akın. 
152.1	Down in the Valley (folk song) ("Birmingham Jail"), American folk song
152.2	Down in the Valley (film), film directed by David Jacobson (2005)
152.3	Down in the Valley (opera), Kurt Weill opera (1948)
152.4	Down in the Valley (Solomon Burke song), rhythm and blues song (1962)
152.5	Down in the Valley (Squeeze song), rock single (1998)
152.6	Down in the Valley: Barn Aid Benefit Concert, live album (2001)
153.1	Look Back in Anger, a 1956 play by John Osborne.
153.2	Look Back in Anger (film), a 1958 film directed by Tony Richardson.
153.3	Look Back in Anger (1980 film), a 1980 film directed by Lindsay Anderson
153.4	"Look Back in Anger", a 1979 song written by David Bowie and Brian Eno
154.1	Bullet in the Head (simplified Chinese: 流血街角; traditional Chinese: 喋血街頭) is a 1990 Hong Kong action-drama-war film co-written, produced and directed by John Woo.
154.2	"Bullet in the Head" is a single by rock/rap group Rage Against the Machine, taken from their eponymous album.
155.1	A Bell for Adano (1945) is a film directed by Henry King starring John Hodiak and Gene Tierney.
155.2	A Bell for Adano is a 1944 novel by John Hersey, the winner of the 1945 Pulitzer Prize for the Novel.
156.1	Peter and the Wolf, a 1936 composition by Sergei Prokofiev, with multiple recordings and adaptations
156.2	Peter and the Wolf (1946 film), Disney's animated version narrated by Sterling Holloway
156.3	Peter and the Wolf (album), a 1988 album by Weird Al Yankovic
156.4	Peter and the Wolf (2006 film), a 2006 animated film directed by Suzie Templeton
156.5	Peter and the Wolf (band), a band from Austin, TX
156.6	Wolf Tracks and Peter and the Wolf, a 2005 album by Jean-Pascal Beintus
157.1	Top of the Pops, also known as TOTP, is a British music chart television programme, made by the BBC and originally broadcast weekly from 1 January 1964 to 30 July 2006.
157.2	Top of the Pops is the name of a series of records issued by Pickwick Records on their Hallmark label, which contain anonymous cover versions of recent and current hit singles.
158.1	The Art Of Seduction is a book by Robert Greene and Joost Elffers which, while examining social power much like their book The 48 Laws of Power, does so through the lens of seduction.
158.2	Art of Seduction (작업의 정석 - Jacobui jeongseok) is a 2005 South Korean film.
